sequence_id,rank,neighbor_id,cosine_similarity
synthetic_AT_rich_01,1,synthetic_AT_rich_07,0.923380955780343
synthetic_AT_rich_01,2,synthetic_AT_rich_03,0.9195927422611588
synthetic_AT_rich_01,3,synthetic_AT_rich_08,0.9045156983981252
synthetic_AT_rich_02,1,synthetic_AT_rich_08,0.951357576904642
synthetic_AT_rich_02,2,synthetic_AT_rich_04,0.9188328993268997
synthetic_AT_rich_02,3,synthetic_AT_rich_05,0.918007370996253
synthetic_AT_rich_03,1,synthetic_AT_rich_08,0.937512562129009
synthetic_AT_rich_03,2,synthetic_AT_rich_01,0.9195927422611588
synthetic_AT_rich_03,3,synthetic_AT_rich_07,0.9161007655769121
synthetic_AT_rich_04,1,synthetic_AT_rich_06,0.9343479716274574
synthetic_AT_rich_04,2,synthetic_AT_rich_08,0.9258052861061526
synthetic_AT_rich_04,3,synthetic_AT_rich_02,0.9188328993268997
synthetic_AT_rich_05,1,synthetic_AT_rich_08,0.934306497123923
synthetic_AT_rich_05,2,synthetic_AT_rich_07,0.9228893042949671
synthetic_AT_rich_05,3,synthetic_AT_rich_02,0.918007370996253
synthetic_AT_rich_06,1,synthetic_AT_rich_04,0.9343479716274574
synthetic_AT_rich_06,2,synthetic_AT_rich_08,0.9183916392147281
synthetic_AT_rich_06,3,synthetic_AT_rich_02,0.9098022416058198
synthetic_AT_rich_07,1,synthetic_AT_rich_01,0.923380955780343
synthetic_AT_rich_07,2,synthetic_AT_rich_05,0.9228893042949671
synthetic_AT_rich_07,3,synthetic_AT_rich_03,0.9161007655769121
synthetic_AT_rich_08,1,synthetic_AT_rich_02,0.951357576904642
synthetic_AT_rich_08,2,synthetic_AT_rich_03,0.937512562129009
synthetic_AT_rich_08,3,synthetic_AT_rich_05,0.934306497123923
synthetic_GC_rich_01,1,synthetic_GC_rich_02,0.9323742864584051
synthetic_GC_rich_01,2,synthetic_GC_rich_08,0.9249067303564037
synthetic_GC_rich_01,3,synthetic_GC_rich_05,0.9224566984550542
synthetic_GC_rich_02,1,synthetic_GC_rich_04,0.9476667305593385
synthetic_GC_rich_02,2,synthetic_GC_rich_01,0.9323742864584051
synthetic_GC_rich_02,3,synthetic_GC_rich_05,0.9290530483695514
synthetic_GC_rich_03,1,synthetic_GC_rich_05,0.8992105692470388
synthetic_GC_rich_03,2,synthetic_GC_rich_06,0.8959620819002427
synthetic_GC_rich_03,3,synthetic_GC_rich_07,0.8942396603990498
synthetic_GC_rich_04,1,synthetic_GC_rich_08,0.9479908921088797
synthetic_GC_rich_04,2,synthetic_GC_rich_02,0.9476667305593385
synthetic_GC_rich_04,3,synthetic_GC_rich_05,0.9212441708011361
synthetic_GC_rich_05,1,synthetic_GC_rich_07,0.9464700013475127
synthetic_GC_rich_05,2,synthetic_GC_rich_02,0.9290530483695514
synthetic_GC_rich_05,3,synthetic_GC_rich_01,0.9224566984550542
synthetic_GC_rich_06,1,synthetic_GC_rich_08,0.9458279684375208
synthetic_GC_rich_06,2,synthetic_GC_rich_01,0.9080158840352643
synthetic_GC_rich_06,3,synthetic_GC_rich_03,0.8959620819002427
synthetic_GC_rich_07,1,synthetic_GC_rich_05,0.9464700013475127
synthetic_GC_rich_07,2,synthetic_GC_rich_04,0.9147268456028536
synthetic_GC_rich_07,3,synthetic_GC_rich_03,0.8942396603990498
synthetic_GC_rich_08,1,synthetic_GC_rich_04,0.9479908921088797
synthetic_GC_rich_08,2,synthetic_GC_rich_06,0.9458279684375208
synthetic_GC_rich_08,3,synthetic_GC_rich_01,0.9249067303564037
synthetic_Balanced_01,1,synthetic_Balanced_06,0.8850145483271737
synthetic_Balanced_01,2,synthetic_Balanced_05,0.8657033232518098
synthetic_Balanced_01,3,synthetic_Balanced_04,0.7991912367006484
synthetic_Balanced_02,1,synthetic_Balanced_08,0.8217566106936397
synthetic_Balanced_02,2,synthetic_Balanced_05,0.8070443831082552
synthetic_Balanced_02,3,synthetic_Balanced_01,0.7579325800877538
synthetic_Balanced_03,1,synthetic_Balanced_07,0.8021913764816266
synthetic_Balanced_03,2,synthetic_Balanced_05,0.7875102453307133
synthetic_Balanced_03,3,synthetic_Balanced_01,0.7748665434096246
synthetic_Balanced_04,1,synthetic_Balanced_06,0.811450846990532
synthetic_Balanced_04,2,synthetic_Balanced_05,0.8039196627284014
synthetic_Balanced_04,3,synthetic_Balanced_01,0.7991912367006484
synthetic_Balanced_05,1,synthetic_Balanced_01,0.8657033232518098
synthetic_Balanced_05,2,synthetic_Balanced_07,0.8644703143592424
synthetic_Balanced_05,3,synthetic_Balanced_06,0.8375901291804679
synthetic_Balanced_06,1,synthetic_Balanced_01,0.8850145483271737
synthetic_Balanced_06,2,synthetic_Balanced_05,0.8375901291804679
synthetic_Balanced_06,3,synthetic_Balanced_04,0.811450846990532
synthetic_Balanced_07,1,synthetic_Balanced_05,0.8644703143592424
synthetic_Balanced_07,2,synthetic_Balanced_08,0.807712047000476
synthetic_Balanced_07,3,synthetic_Balanced_03,0.8021913764816266
synthetic_Balanced_08,1,synthetic_Balanced_02,0.8217566106936397
synthetic_Balanced_08,2,synthetic_Balanced_07,0.807712047000476
synthetic_Balanced_08,3,synthetic_Balanced_05,0.7990515869487501
