sequence_id,label
synthetic_AT_rich_01,AT_rich
synthetic_AT_rich_02,AT_rich
synthetic_AT_rich_03,AT_rich
synthetic_AT_rich_04,AT_rich
synthetic_AT_rich_05,AT_rich
synthetic_AT_rich_06,AT_rich
synthetic_AT_rich_07,AT_rich
synthetic_AT_rich_08,AT_rich
synthetic_GC_rich_01,GC_rich
synthetic_GC_rich_02,GC_rich
synthetic_GC_rich_03,GC_rich
synthetic_GC_rich_04,GC_rich
synthetic_GC_rich_05,GC_rich
synthetic_GC_rich_06,GC_rich
synthetic_GC_rich_07,GC_rich
synthetic_GC_rich_08,GC_rich
synthetic_Balanced_01,Balanced
synthetic_Balanced_02,Balanced
synthetic_Balanced_03,Balanced
synthetic_Balanced_04,Balanced
synthetic_Balanced_05,Balanced
synthetic_Balanced_06,Balanced
synthetic_Balanced_07,Balanced
synthetic_Balanced_08,Balanced
